epic,sector_desc
B15KXV3,Commodity ETI - Oil
B15KXV3,Commodity ETI - Precious Metals
B15KXV3,Commodity ETI - Silver
B15KXV3,Commodity ETI - Soft
B15KXV3,Equity ETI by Area - Africa & Middle East
B15KXV3,Equity ETI by Area - Asia Pacific
B15KXV3,Equity ETI by Area - Developed Mkt
B15KXV3,Equity ETI by Area - Emerging Market
B15KXV3,Equity ETI by Area - Europe
B15KXV3,Equity ETI by Area - FTSE 100
B15KXV3,Equity ETI by Area - FTSE 250
B15KXV3,Equity ETI by Area - Japan
B15KXV3,Equity ETI by Area - Latin & South America
B15KXV3,Equity ETI by Area - North America
B15KXV3,Equity ETI by Area - Other
B15KXV3,Equity ETI by Area - Russia
B15KXV3,Equity ETI by Area - UK
B15KXV3,Equity ETI by Area - World
B15KXV3,Equity ETI by Sector - Banks & Financials
B15KXV3,Equity ETI by Sector - Basic Materials
B15KXV3,Equity ETI by Sector - Consumer goods
B15KXV3,Equity ETI by Sector - Energy
B15KXV3,Equity ETI by Sector - Health
B15KXV3,Equity ETI by Sector - Industrials
B15KXV3,Equity ETI by Sector - Large Mid Small and Micro Cap
B15KXV3,Equity ETI by Sector - Oil & Gas
B15KXV3,Equity ETI by Sector - Property
B15KXV3,Equity ETI by Sector - Technology
B15KXV3,Equity ETI by Sector - Telecoms
B15KXV3,Equity ETI by Sector - Utilities
B15KXV3,Equity ETI by Sector - Volatility Index
B15KY32,Commodity ETI - Agriculture
B15KY32,Commodity ETI - Composite
B15KY32,Commodity ETI - Energy
B15KY32,Commodity ETI - Gold
B15KY32,Commodity ETI - Industrial Metals
B15KY32,Commodity ETI - Livestock
B15KY32,Commodity ETI - Oil
B15KY32,Commodity ETI - Precious Metals
B15KY32,Commodity ETI - Silver
B15KY32,Commodity ETI - Soft
B15KY32,Equity ETI by Area - Africa & Middle East
B15KY32,Equity ETI by Area - Asia Pacific
B15KY32,Equity ETI by Area - Developed Mkt
B15KY32,Equity ETI by Area - Emerging Market
B15KY32,Equity ETI by Area - Europe
B15KY32,Equity ETI by Area - FTSE 100
B15KY32,Equity ETI by Area - FTSE 250
B15KY32,Equity ETI by Area - Japan
B15KY32,Equity ETI by Area - Latin & South America
B15KY32,Equity ETI by Area - North America
B15KY32,Equity ETI by Area - Other
B15KY32,Equity ETI by Area - Russia
B15KY32,Equity ETI by Area - UK
B15KY32,Equity ETI by Area - World
B15KY32,Equity ETI by Sector - Banks & Financials
B15KY32,Equity ETI by Sector - Basic Materials
B15KY32,Equity ETI by Sector - Consumer goods
B15KY32,Equity ETI by Sector - Energy
B15KY32,Equity ETI by Sector - Health
B15KY32,Equity ETI by Sector - Industrials
B15KY32,Equity ETI by Sector - Large Mid Small and Micro Cap
B15KY32,Equity ETI by Sector - Oil & Gas
B15KY32,Equity ETI by Sector - Property
B15KY32,Equity ETI by Sector - Technology
B15KY32,Equity ETI by Sector - Telecoms
B15KY32,Equity ETI by Sector - Utilities
B15KY32,Equity ETI by Sector - Volatility Index
B17BGX7,Equity ETI by Sector - Large Mid Small and Micro Cap
